CP,Localidad,Provincia,,,,
1647,Arroyo Qancay,Entre Rios,,,,
1647,Arroyo Ss Chico,Entre Rios,,,,
1647,Arroyo Ss Grande,Entre Rios,,,,
1647,Arroyo Tiroles,Entre Rios,,,,
1647,Brazo Largo,Entre Rios,,,,
1647,Canal Nuevo,Entre Rios,,,,
1647,Canal San Martin,Entre Rios,,,,
1647,Delta San Fernando,Buenos Aires,,,,
1647,La Chilena Canal,Entre Rios,,,,
1647,La Chilena Zanja,Entre Rios,,,,
1647,Paranacito Rio,Entre Rios,,,,
1647,Rio Paranacito,Entre Rios,,,,
1648,Carupa,Buenos Aires,,,,
1648,Tigre,Buenos Aires,,,,
1649,Arroyo Bicho Feo,Buenos Aires,,,,
1649,Arroyo Ceibito,Buenos Aires,,,,
1649,Arroyo Cucharas,Buenos Aires,,,,
1649,Arroyo Garcete,Buenos Aires,,,,
1649,Arroyo Lara,Buenos Aires,,,,
